照合結果,不一致内容,機器ID,機器名,機器表 台数,盤表 台数,台数差（盤表-機器表）,機器表 消費電力(kW),盤表 容量(kW),容量差(kW),図面番号
不一致,盤表に記載なし,CAV-10-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-11～15-2,,5,0,-5,,,,
不一致,盤表に記載なし,CAV-16-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-2-2,定風量装置,1,0,-1,10VA,,,
不一致,盤表に記載なし,CAV-3～6-3,(EA),4,0,-4,,,,
不一致,盤表に記載なし,CAV-7-3,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-8-3,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-9-3,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-10-3,,1,0,-1,,,,
不一致,盤表に記載なし,OS-1,脱臭装置,1,0,-1,0.15,,,
不一致,盤表に記載なし,OS-2,脱臭装置,1,0,-1,0.026,,,
不一致,盤表に記載なし,OS-3,脱臭装置,1,0,-1,0.008,,,
不一致,盤表に記載なし,AH-1,ｴｱ搬送ﾌｧﾝ,7,0,-7,0.11,,,
不一致,容量欠損,PAC-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,1,0,(冷)9.45 / (暖)7.18 / (低温)9.43,9.45,,E-025
不一致,盤表に記載なし,PAC-1-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),2,0,-2,0.04,,,
不一致,盤表に記載なし,PAC-1-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,0,-1,0.02,,,
不一致,容量欠損,PAC-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)3.93 / (暖)4.05 / (低温)5.32,6.63,,E-025
不一致,盤表に記載なし,PAC-2-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.02,,,
不一致,盤表に記載なし,PAC-2-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.07,,,
不一致,盤表に記載なし,PAC-2-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.02,,,
不一致,盤表に記載なし,PAC-2-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.02,,,
不一致,盤表に記載なし,PAC-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用,1,0,-1,(冷)0.575 / (暖)0.721 / (低温)0.988,,,
不一致,盤表に記載なし,PAC-3-1,空 調 機 空冷HPﾊﾟｯｹｰｼﾞ 店舗用,1,0,-1,,,,
不一致,容量欠損,PAC-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,1,0,(冷)5.64 / (暖)4.98 / (低温)6.63,7.81,,E-025
不一致,容量差分=1.010,PAC-4-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,1,0,0.19,1.2,1.01,E-024
不一致,容量欠損,PAC-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,1,0,(冷)5.64 / (暖)4.98 / (低温)6.63,7.81,,E-025
不一致,容量差分=1.010,PAC-5-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),1,1,0,0.19,1.2,1.01,E-024
不一致,容量欠損,PAC-6,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)1.52 / (暖)1.66 / (低温)2,2,,E-025
不一致,盤表に記載なし,PAC-6-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.03,,,
不一致,盤表に記載なし,PAC-6-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.02,,,
不一致,容量欠損,PAC-7,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)14.1 / (暖)15 / (低温)16.9,16.9,,E-025
不一致,盤表に記載なし,PAC-7-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.41,,,
不一致,盤表に記載なし,PAC-7-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.3,,,
