機器番号,名称,動力 (50Hz)_消費電力 (KW),台数
PAC-7-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.3,2
PAC-7-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,1
PAC-8,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)13.7 / (暖)13.3 / (低温)12.5,1
PAC-8-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.1,2
PAC-8-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.15,2
PAC-8-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,2
PAC-9,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用(同時ﾂｲﾝ),(冷)2.4 / (暖)2.48 / (低温)5.25,1
PAC-9-1,空 調 機 空冷HPﾊﾟｯｹｰｼﾞ 店舗用(同時ﾂｲﾝ),,2
PAC-10,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)10.6 / (暖)11.6 / (低温)10.8,1
PAC-10-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.1,1
PAC-10-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,1
PAC-10-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,1
PAC-10-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.06,1
PAC-10-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,2
PAC-11,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)13.7 / (暖)13.3 / (低温)12.5,1
PAC-11-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.06,3
PAC-11-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,6
PAC-12,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)10.6 / (暖)11.6 / (低温)10.8,1
PAC-12-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.06,1
PAC-12-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,2
PAC-12-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.06,1
PAC-12-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,2
PAC-12-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.07,1
PAC-12-6,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,2
PAC-13,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)7.42 / (暖)7.73 / (低温)8.6,1
PAC-13-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.07,1
PAC-13-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,2
PAC-13-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.05,1
PAC-13-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,1
PAC-13-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.05,1
PAC-14,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)5.11 / (暖)5.46 / (低温)6.3,1
PAC-14-1,空 調 機 1 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.05,2
PAC-14-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.05,1
PAC-14-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.05,1
PAC-15,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用(同時ﾂｲﾝ),(冷)6.1,1
PAC-15-1,空 調 機 店舗用(同時ﾂｲﾝ),,
VR-1,レンジフード,,86
BD-1,浴室換気乾燥機,,9
HEX-1,全熱交換機,,9
HEX-2,全熱交換機,,27
VF-1,天井扇,,10
ORC-1,ルームエアコン マルチタイプ,,9
ORC-2,ルームエアコン マルチタイプ,,6
ORC-3,マルチタイプ,,5
ORC-4,ルームエアコン マルチタイプ,,
ORC-5,ルームエアコン マルチタイプ,,3
ORC-6,ルームエアコン,,
ORC-7,マルチタイプ ルームエアコン,,60
ORC-8,マルチタイプ ルームエアコン,,12
ORC-9,ルームエアコン マルチタイプ,,27
IRC-1,ルームエアコン,,36
IRC-2,マルチタイプ ルームエアコン,,96
IRC-3,ルームエアコン マルチタイプ,,41
IRC-4,ルームエアコン マルチタイプ,,11
IRC-5,ルームエアコン,,5
IRC-6,マルチタイプ ルームエアコン,,40
RC-1～3,欠 番,,
RC-4,ルームエアコン,,16
RC-5,ルームエアコン,,1
RC-6,ルームエアコン,,1
RC-7,ルームエアコン,,14
RC-8,ルームエアコン 室外機2段積架台,,22
