機器番号,名称,系統,仕様,,,,,動力 (50Hz),,,,,,付属品・その他,台数,設置場所,,備考
,,,型式,番手 #(φ),機器風量 m3/h,静圧 Pa,騒音値 (dB),相 P-V,消費電力 (KW),始動方式,操作,監視,種別,,,階,部屋名,(参考型番)
EF-B2-2,排 風 機,B2F ガスボンベ庫,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,300φ,"1,700",250,44.5,3-200,0.54,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B2F,ガスボンベ庫,BFS-210TUG2 (三菱電機)
EF-B2-3,排 風 機,B2F 東電借室・引込開閉器盤室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,＃2,"2,600",250,49,3-200,0.91,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B2F,東電借室・引込開閉器盤室,BFS-300TUA2 (三菱電機)
EF-B2-4,排 風 機,B2F ゴミ置場,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,300φ,"1,700",250,44.5,3-200,0.54,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B2F,ゴミ置場,BFS-210TUG2 (三菱電機)
EF-B2-5,排 風 機,B2F ＭＲ,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,400,250,32,1-100,0.116,LS,A,〇,●,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B2F,ＭＲ,BFS-80SUDC (三菱電機) / DSPﾌﾞﾛﾜﾌｧﾝと連動
EF-B2-6,排 風 機,B2F 機械式駐車場,片吸込ｼﾛｯｺﾌｧﾝ (床置型),#21/2,"6,000",350,72,3-200,2.2,LS,A,〇,△,ﾀｲﾏｰSW(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振､他一式,3,B2F,機械式駐車FR,21/2SRM4 (エバラ） / ｽｹｼﾞｭｰﾙによるﾛｰﾃｰｼｮﾝ運転 / (空調工事）
EF-B2-7,排 風 機,B2F 廊下,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,900,200,37,1-100,0.202,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B2F,廊下,BFS-100SUDC (三菱電機)
EF-B1-1,排 風 機,B1F EVホール,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,200,300,34.5,1-100,0.145,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B1F,EVホール,BFS-90SUDC (三菱電機)
EF-B1-2,排 風 機,B1F 備蓄倉庫,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,200,350,34.5,1-100,0.145,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B1F,備蓄倉庫,BFS-90SUDC (三菱電機)
EF-1-1,排 風 機,1F ゴミ置場,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,400,200,29.5,1-100,0.0832,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,1F,ゴミ置場,BFS-65SUDC (三菱電機)
EF-1-2,排 風 機,1F 駐輪場,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,300φ,"1,500",250,44.5,3-200,0.54,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,1F,駐輪場,BFS-210TUG2 (三菱電機)
EF-10-1,排 風 機,2-10F ゴミ庫(常時運転),片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),#1,"1,220",300,71.5,3-200,0.75,LS,A,〇,〇,INV(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振､他一式,1,10F,機器置場,1SRM4 (エバラ）
EF-11-1,排 風 機,11F 給水ポンプ室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,200,180,29.5,1-100,0.0625,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,11F,給水ポンプ室,BFS-50SUDC (三菱電機)
EF-R-1,排 風 機,2-16F 共用廊下･ゴミ庫(日中運転),片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),#2,"3,730",350,72,3-200,1.5,LS,A,〇,〇,INV(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振､他一式,1,PHF,屋上機器置場,2SRM4 (エバラ）
EF-R-2,排 風 機,2-16F ゴミ庫(夜間運転),片吸込ｼﾛｯｺﾌｧﾝ (屋外床置型),#1,"1,400",350,64,3-200,0.75,LS,A,〇,〇,INV(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振､他一式,1,PHF,屋上機器置場,1SRM4 (エバラ）
F-EV-1,排 風 機,PHF 非常用ＥＶ機械室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）,250φ,"1,800",250,42.5,3-200,0.425,LS,A,〇,△,ｻｰﾓ･ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,PHF,非常用ＥＶ機械室,BFS-180TUG2 (三菱電機)
F-B1-1,排 風 機,B1F 平置駐車場,片吸込ｼﾛｯｺﾌｧﾝ (床置型),#2,"5,300",350,78,3-200,2.2,LS,A,〇,〇,INV(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振､他一式,3,B1F,FR・ガス緊急遮断弁室,2SRM4 (エバラ） / ﾀｲﾑｽｹｼﾞｭｰﾙ制御を行う / (空調工事）
